original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
14720,20180829-090546_237_live,9,"That's wonderful!  You're providing such an important service for people, I'm really happy to hear that!  I know that those you help are incredibly grateful for it.",Social Influence,Social Proof,Acknowledgement
14722,20180829-090546_237_live,10,"That's so lovely!  Even though many have found themselves in similar circumstances, not all are as motivated as you are to help.  So, it's really commendable that you choose to do so.  I hope that contiunes to go wellf or you and that you are able to help many people through your generosity =)",Social Influence,Social Proof,Self-feeling Appeal
14724,20180829-090546_237_live,11,"Yes, I certainly agree to that =)",Conversation Management,Acknowledgement,Acknowledgement
14725,20180829-094538_696_live,0,"Hello, how are you?",Conversation Management,Greeting / Rapport,Greeting / Rapport
14727,20180829-094538_696_live,1,"I'm doing well, thank you! ",Conversation Management,Greeting / Rapport,Greeting / Rapport
14729,20180829-094538_696_live,2,"It\'s called ""Save the Children"". It basically fights for children\'s rights in developing countries, so it gives them access to education, healthcare, shelter, etc.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14731,20180829-094538_696_live,3,"Agreed! I understand that, I thought that myself until I heard about the awful conditions some of these kids are going through. I've read story after story of these poor kids being abused, starved, and dying in the streets. It breaks my heart. ",Emotional Influence,Storytelling,Storytelling
14733,20180829-094538_696_live,4,"Me too. I guess I'm more sympathetic because here we at least have foundations to help these kids. Children Protective Services, Child Aid USA, Ronald McDonald House, etc. I just feel like these kids aren't given a chance.",Emotional Influence,Sympathy Appeal,Sympathy Appeal
14735,20180829-094538_696_live,5,That's awesome! I did some research and online they have a whole spreadsheet on where the money actually goes which is good.,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
14737,20180829-094538_696_live,6,According to their statistics they said scored an 87% for transparency and communication of expenditure based on their own research.,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
14739,20180829-094538_696_live,7,I just read that they actually helped over 237k children the US too! I'm glad they're helping people here too.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
14741,20180829-094538_696_live,8,"I saw that too when I was researching. Then I stumbled on ""Charity Navigator"" which helps choose charities to donate too and they scored quite highly. 88% score overall, and 97% for accountability.",Authority / Expertise,Credibility Appeal,Credibility Appeal
14743,20180829-094538_696_live,9,Do you think you'd still be willing to donate?,Call to Action,Call to Action,
14745,20180829-094538_696_live,10,$1? (Just so I'm clear!),Conversation Management,Logistics / Coordination,Logistics / Coordination
14747,20180829-094538_696_live,11,That's great! Thank you so much!,Conversation Management,Acknowledgement,Acknowledgement
14749,20180829-122147_798_live,0,Have you donated to Save the Children before?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
14751,20180829-122147_798_live,1,You should research it. Its a very worthwhile cause,Rational / Impact Appeal,Rational Appeal,Rational Appeal
14753,20180829-122147_798_live,2,It would be great if you could donate,Call to Action,Call to Action,Call to Action
14755,20180829-122147_798_live,3,I do the same. They are just one of them on my list,Conversation Management,Greeting / Rapport,Social Proof
14757,20180829-122147_798_live,4,Feed my Starving Children. I also volunteer there. I donate to local women's shelters and local community centers,Social Influence,Social Proof,
14759,20180829-122147_798_live,5,Thank you. Hopefully it has some impact. ,Conversation Management,Acknowledgement,Acknowledgement
14761,20180829-122147_798_live,6,What charities do you give to,Conversation Management,Qualification / Segmentation,Donation Baseline / Habit Probe
14763,20180829-122147_798_live,7,I'm a big supporter of LGBT rights also. My son is gay and married so I am a huge supporter of that,Appeal to Values,Appeal to Values,Appeal to Values
14765,20180829-122147_798_live,8,Yes my son in law has very little support from his family and was shunned so when he met me - I'm the mom with the I LOVE MY GAY SON shirt on (jk) he was just so happy I was so accepting,Social Influence,Unity,Appeal to Values
14767,20180829-122147_798_live,9,He really is. I'm actually glad he has me for support.,Conversation Management,Greeting / Rapport,Greeting / Rapport
14769,20180829-115223_595_live,0,Hi there!,Conversation Management,Greeting / Rapport,Greeting / Rapport
14771,20180829-115223_595_live,1,"I'm pretty good, the weather where I am is still hot, cant wait for the summer to end.",Conversation Management,Greeting / Rapport,Greeting / Rapport
14773,20180829-115223_595_live,2,"Yuck, summer colds are the worst!",Conversation Management,Greeting / Rapport,Greeting / Rapport
14775,20180829-115223_595_live,3,"I'm drinking ginger ale, with maximum amount of ice cubes my glass can hold, lol",Conversation Management,Greeting / Rapport,Non-persuasive Other
14777,20180829-115223_595_live,4,"yeah you can get some great ginger ale's from whole foods etc, which are made with stevia and wot not, I don't drink traditional sodas myself, anyway, if I may digress. Have you heard of an organization called Save the Children?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14779,20180829-115223_595_live,5,"No I don't, but I was wondering if you would be willing to donate a portion of your task money to this worthy cause?",Call to Action,Call to Action,Call to Action
14781,20180829-115223_595_live,6,"This is their website URL  it is a truly worthy cause, to support children's rights to healthcare, education, etc.",Rational / Impact Appeal,Rational Appeal,Appeal to Values
14783,20180829-115223_595_live,7,"Fantastic, your donation will have a tangible impact on the world, may I ask how much you are willing to donate at this time/",Call to Action,Call to Action,Commitment and Consistency
14785,20180829-115223_595_live,8,"Great that is very generous of you. And the children of the world appreciate it, as do I.",Conversation Management,Acknowledgement,Appeal to Values
14787,20180829-115223_595_live,9,You can go to the website I posted earlier.,Conversation Management,Logistics / Coordination,Call to Action
14789,20180829-102237_489_live,0,"Hello, I\'m here to show you why it would an important and life changing act to donate to our organization ""Save the Children""",Call to Action,Call to Action,Appeal to Values
14791,20180829-102237_489_live,1,"That is great to hear! So you know your donation will help ensure chidrens rights to health, education, and their safety etc. You can make a big impact on a child life by doing one simple act.",Rational / Impact Appeal,Rational Appeal,Moral Appeal
14793,20180829-102237_489_live,2,"It would be easier to tell you where they don't work, but they work in the United States, Africa, Asia, Greater Middle East and Eurasia Region, Latin America and the Caribbean. ",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
14795,20180829-102237_489_live,3,I couldn't agree with you more the Save the Children Organization has been around for over 30 years and has saved over 155 million children and helped with their rights and has provided relief in many ways.,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
14797,20180829-102237_489_live,4,"your money will go to the help of getting the best health and nutrition programs to save the lives of children. We work to empower communities to build resilience, improve food security, and strengthen financial capability to ensure no child goes hungry.  Save the Children is on the ground every day protecting children from harm, including abuse, neglect, exploitation and violence, while promoting a safe family environment for every child.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14799,20180829-102237_489_live,5,The amount is totally up to you. Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all you payment ($2). Anything helps like i said just the smallest act of kindness can make a huge impact.,Call to Action,Call to Action,Framing
14801,20180829-102237_489_live,6,"In 2017, we reached a total of nearly 237 thousand U.S. children in 22 states plus the Commonwealth of Puerto Rico, including an estimated 163,000 children directly $9 million or more in funding or material support over a three-year period toward our mission and programs. ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14803,20180829-102237_489_live,7,Well tell me why I might be able to ease your mind.,Conversation Management,Permission / Time Check,Charity Awareness Probe
14805,20180829-102237_489_live,8,I can assure you that this is not the case here.  This is a very trustworthy organization I myself have personally have donated my money to Save the Children. The research team will collect all the donations they get and send it to Save the Children.  All you have is my word.,Authority / Expertise,Credibility Appeal,Credibility Appeal
14807,20180829-102237_489_live,9,"I understand completely there are numerous organization that are scams, but I'm telling you that this organization cares about the kids there are so many stats that show they are making a difference in these children lives they have saved over 155 millions kids.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14809,20180829-102237_489_live,10,if there is anything i need to do to change your mind i willing to do and give you information,Call to Action,Call to Action,Credibility Appeal
14810,20180829-065854_948_live,0,Hello there! How are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
14812,20180829-065854_948_live,1,I am doing wonderful though it is hot up here in ohio today! ,Conversation Management,Greeting / Rapport,Greeting / Rapport
14814,20180829-065854_948_live,2,Yes  me too! How do you feel about children who are suffering and need help,Emotional Influence,Empathy Appeal,Empathy Appeal
14816,20180829-065854_948_live,3,Well Im sorry you feel that way. I just wanted to know if you have ever donated or helped kids in need?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
14818,20180829-065854_948_live,4,I hear you! I donated per month to compassion international for years and years! I supported a young girl who is grown now.,Social Influence,Social Proof,Storytelling
14820,20180829-065854_948_live,5,I do agree with that to a point. Action does help but these companies do need monetary support as well or they cannot trhrive.,Rational / Impact Appeal,Rational Appeal,Logical Appeal
14822,20180829-065854_948_live,6,That's wonderful! Have you head of the organization Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14824,20180829-065854_948_live,7,"They are needing a lot of help currently, there are more and more kids needing help.",Rational / Impact Appeal,Rational Appeal,Moral Appeal
14826,20180829-065854_948_live,8,That makes sense to a point. Without funding the companies cannot help. Anyway heres my question How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2).? ,Call to Action,Call to Action,
14828,20180829-065854_948_live,9,I really wish you would donate something any amount helps.,Call to Action,Call to Action,Call to Action
14830,20180829-222938_760_live,0,Hello! How are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
14832,20180829-222938_760_live,1,I am sorry! My HIT just notified me of a successful match. Responses will be quicker from here on out. :) Do you donate to charities currently?,Conversation Management,Acknowledgement,Donation Baseline / Habit Probe
14834,20180829-222938_760_live,2,"Today, you have a unique opportunity to donate part of your earnings from this HIT to an organization called Save The Children. Have you heard of this organization prior to this conversation?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14836,20180829-222938_760_live,3,Wonderful! Save The Children has continued to be a helping hand for children in the US and many other countries. They are currently assisting children experiencing violence and disarray in Syria along with helping children affecting by immigration laws here in the US.,Rational / Impact Appeal,Rational Appeal,Appeal to Values
14838,20180829-222938_760_live,4,There truly are. It's amazing what Save the Children steps in to accomplish. 86% of their donations go directly toward program funding while the remaining 14% goes toward management efforts and fundraising. ,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
14840,20180829-222938_760_live,5,I agree. It's one of my favorite parts about Save the Children. You are familiar with sponsorship as previously mentioned but save the children also accepts one time donations without further obligation.,Call to Action,Call to Action,Framing
14842,20180829-222938_760_live,6,True. Kind of goes without saying I suppose :) Is there a reason you don't currently donate to this charity?,Commitment / Consistency,Activation of Personal Commitment,Guilt Induction
14844,20180829-222938_760_live,7,That's very awesome of you and I am sorry to hear of your recent loss of income. I understand needing MTurk for supplemental income as our family is single income right now and sometimes its rough living paycheck to paycheck! I think that is why this opportunity is so unique today. The donation you choose to commit (which can be as little as 1 cent) will be deducted from the payment for this HIT and automatically sent to save the children by the requestor. ,Exchange / Incentives,Reciprocity,Empathy Appeal
14846,20180829-222938_760_live,8,The payment for this HIT is 30 cents (at least on my end) and I don't think we can exceed that amount. I will DEFINITELY match you if you are willing to donate the 30 cents from your payment :),Exchange / Incentives,Reciprocity,Reciprocity
14848,20180829-222938_760_live,9,Couldn't agree more :) Thank you for your donation and I wish you the best of luck with your grandchildren and here on MTurk :) ,Conversation Management,Acknowledgement,Acknowledgement
14850,20180829-222938_760_live,10,You as well :),Conversation Management,Acknowledgement,Conversation Closing
14851,20180829-082113_449_live,0,Hey there :) How are you feeling today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
14853,20180829-082113_449_live,1,"Not too bad, all things considered",Conversation Management,Greeting / Rapport,Greeting / Rapport
14855,20180829-082113_449_live,2,U.S. How about you? Think they matched us with our complete opposites? :P,Conversation Management,Greeting / Rapport,Greeting / Rapport
14857,20180829-082113_449_live,3,"Haha I am trying to figure out if you're a bot. I'm not, if you're wondering :) If you are you're pretty good. Congrats!",Conversation Management,Greeting / Rapport,Greeting / Rapport
14859,20180829-082113_449_live,4,"Haha nice, I'll take your word for it for now :) Ok if we talk about some serious stuff?",Conversation Management,Permission / Time Check,Permission / Time Check
14861,20180829-082113_449_live,5,"Neither of us are donating to each other actually, which is probably a good thing. What have you heard about the charity called ""Save the Children""?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14863,20180829-082113_449_live,6,"They're international - a pretty solid, well-known organization with a good track record. Basically they work to protect children around the world. They fundraise and advocate for children suffering from disasters or war or poverty. So we have the opportunity today to donate some of our payment to them.",Authority / Expertise,Credibility Appeal,Credibility Appeal
14865,20180829-082113_449_live,7,"Nope, I don't work for them.",Conversation Management,Qualification / Segmentation,Non-persuasive Other
14867,20180829-082113_449_live,8,They are pretty reputable. I think I'll donate a little bit to them. Maybe $0.50. Would you like to make a small donation from your task payment?,Authority / Expertise,Credibility Appeal,Social Proof
14869,20180829-082113_449_live,9,That's fantastic. Thank you :),Conversation Management,Acknowledgement,Acknowledgement
14871,20180829-082113_449_live,10,"Alright, well this has been fun :) Enjoy the rest of your day!",Conversation Management,Conversation Closing,Conversation Closing
14872,20180829-010424_398_live,0,Hi how are you,Conversation Management,Greeting / Rapport,Greeting / Rapport
14874,20180829-010424_398_live,1,"Tired, but i am ready to work ",Conversation Management,Greeting / Rapport,Greeting / Rapport
14876,20180829-010424_398_live,2,We think alike  we have great minds,Conversation Management,Greeting / Rapport,Unity
14878,20180829-010424_398_live,3,"Today i like to ask you about donations. As for interesting things, just waking up.",Conversation Management,Permission / Time Check,Non-persuasive Other
14880,20180829-010424_398_live,4,Have you heard of charity called save the children,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14882,20180829-010424_398_live,5,"They are a trusting organization that helps children that are homeless, sick, etc. Children and animals i care most for to be honest.",Authority / Expertise,Credibility Appeal,Appeal to Values
14884,20180829-010424_398_live,6,Any donation would be appreciated. Would you like to donate?,Call to Action,Call to Action,Call to Action
14886,20180829-010424_398_live,7,"Ok. When you have time, please research save the children. They help save thousands of innocent lives everyday. If you can, even 5 cents that would be great.",Call to Action,Call to Action,Moral Appeal
14888,20180829-010424_398_live,8,I believe its global around entire world that i know of.,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
14890,20180829-010424_398_live,9,The exact number i am unsure of to be honest. But i know for sure they are caring abd and legitimate.,Authority / Expertise,Credibility Appeal,Credibility Appeal
14892,20180829-010424_398_live,10,Yes that is correct. But you do not have to do that much ,Commitment / Consistency,Foot-in-the-door,Framing
14894,20180829-010424_398_live,11,Yes that would be appreciated. Thank you so much.,Conversation Management,Acknowledgement,Acknowledgement
14896,20180829-010424_398_live,12,U 2. Enjoy your Wednesday ,Conversation Management,Conversation Closing,Conversation Closing
14897,20180829-092612_565_live,0,"Hello, how are you doing today?",Conversation Management,Greeting / Rapport,Greeting / Rapport
14899,20180829-092612_565_live,1,I'm doing pretty well. I'm actually just chilling at work as it's pretty slow today. Would you have a few moments to talk about a charity?,Conversation Management,Permission / Time Check,Permission / Time Check
14901,20180829-092612_565_live,2,Well the charity is called Save the Children. Have you ever heard of them before?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14903,20180829-092612_565_live,3,"Well Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. It's a non profit that is run completely on donations.",Rational / Impact Appeal,Rational Appeal,Charity Awareness Probe
14905,20180829-092612_565_live,4,"Well in 2017 alone, 155 million children were helped because of this program, including 237,000 in the US",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14907,20180829-092612_565_live,5,"Well a few things they help with are Education, Health, Protection (IE protection from abuse), Hunger",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14909,20180829-092612_565_live,6,"I agree. Since they're run completely on donations, do you think you could spare $2 today to help them continue their mission?",Call to Action,Call to Action,Call to Action
14911,20180829-092612_565_live,7,"That's fantastic news, and I'm sure the children will truly appreciate it. Do you have any questions on how it will get to the charity? ",Conversation Management,Acknowledgement,Logistics / Coordination
14913,20180829-092612_565_live,8,"Haha that's okay, I figured I'd ask anyways, as some people are concerned. Do you have any other questions on the charity?",Conversation Management,Logistics / Coordination,Acknowledgement
14915,20180829-092612_565_live,9,"That's great. We really do appreciate your donation, and the kids will benefit from it as well",Conversation Management,Acknowledgement,Acknowledgement
14917,20180829-055223_138_live,0,Have you heard of a charity called save the children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
14919,20180829-055223_138_live,1,"I'm very much a supporter of them, It's something important to me ",Norms / Morality / Values,Appeal to Values,Appeal to Values
14921,20180829-055223_138_live,2,"This is one of the few i specifically support, yes. Have you donated to a charity recently?",Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
14923,20180829-055223_138_live,3,"did you know that in 2018 alone, there were 1000 reported deaths of children in syria. all based around high levels of violence and war crime?",Rational / Impact Appeal,Rational Appeal,Empathy Appeal
14925,20180829-055223_138_live,4,Would you be willing the donate to save the children today? you can use 0-2 dollars of your task reward ,Call to Action,Call to Action,Moral Appeal
14927,20180829-055223_138_live,5,"you don't feel any sort of want, to help these children?",Emotional Influence,Guilt Induction,Guilt Induction
14929,20180829-055223_138_live,6,the donations to the correct people would help them rebuild things and rebuild lives,Rational / Impact Appeal,Rational Appeal,Moral Appeal
14931,20180829-055223_138_live,7,and with the donations you are helping people relocate as well ,Rational / Impact Appeal,Rational Appeal,Rational Appeal
14933,20180829-055223_138_live,8,So you would prefer that no aid goes to these suffering? ,Emotional Influence,Sympathy Appeal,Guilt Induction
14935,20180829-055223_138_live,9,and you do not think money would be helpful here? what about for food and rations,Rational / Impact Appeal,Rational Appeal,Framing
14937,20180829-055223_138_live,10,i'm sorry you feel that way. more people need to care about others. ,Norms / Morality / Values,Appeal to Values,Moral Appeal
14938,20180829-161850_275_live,0,Hey how are you?,Conversation Management,Greeting / Rapport,Greeting / Rapport
14940,20180829-161850_275_live,1,"Pretty good. So the researcher would like us to make a donation to Save the Children. It seems like a good cause, would you like to donate?",Call to Action,Call to Action,Call to Action
14942,20180829-161850_275_live,2,"Yeah, it promotes childrens rights and provides help and support for kids in developing countries. I always try to donate to charities for children",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14944,20180829-161850_275_live,3,I'd be all for that. It might as well go to kids who are in need. So you would like to donate the full $2?,Call to Action,Call to Action,Moral Appeal
14946,20180829-161850_275_live,4,"That is awesome, we'll both have done our good deed for the day too",Self-feeling Appeal,Self-feeling Appeal,Self-feeling Appeal
14948,20180829-161850_275_live,5,haha thats right. So I looked at a little more info about the charity and apparently they helped a lot with Syrian children that were targets of violence,Rational / Impact Appeal,Rational Appeal,Empathy Appeal
14950,20180829-161850_275_live,6,"Yeah, two dollars doesnt seem like much to us, but its probably a huge help for children in poverty",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14952,20180829-161850_275_live,7,"I agree. Its hard to even think about living in a place that's violent, impoverished and where every day is difficult. It does make our problems seem pretty trivial",Emotional Influence,Empathy Appeal,Empathy Appeal
14954,20180829-161850_275_live,8,haha yeah really! I hope other people doing this study decide to donate all of their money too. That would be a lot of help!,Social Influence,Social Proof,Social Proof
14956,20180829-161850_275_live,9,"Agreed. Some researchers do send that info out after their studies (maybe they'll see our convo and do it!).  So I think that's our 10 messages. We're agreeing to donate the full amount, right?",Call to Action,Call to Action,Commitment and Consistency
14958,20180829-140252_910_live,0,hi how are you doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
14960,20180829-140252_910_live,1,not too bad here. i'm just messaging to see if you would like to donate to an important charity Save the children,Call to Action,Call to Action,Call to Action
14962,20180829-140252_910_live,2,"Sure! Save the children is an international non-government agency that collects donations to help promote chidren's rights, and provides relief and support to helping children in need all around the world",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
14964,20180829-140252_910_live,3,"absolutely. its a great organization. if you would like to donate today, you can give the charity anywhere from 0-2 dollars from your bonus payment for this task\\",Call to Action,Call to Action,Framing
14966,20180829-140252_910_live,4,okay that sounds great. Thank you very much. do you have any further questions?,Conversation Management,Acknowledgement,Conversation Closing
14968,20180829-140252_910_live,5,okay. it was great talking to you today and have a good night!,Conversation Management,Conversation Closing,Conversation Closing
14970,20180829-140252_910_live,6,ok sorry i guess i have to talk a little bit further to be able to submit your payment.,Conversation Management,Logistics / Coordination,Logistics / Coordination
14972,20180829-140252_910_live,7,"yeah absolutely. to finish the hit, i have to go back a absolutely. to finish the hit, i have to go back and forth 10 times. so where are you from?  ",Conversation Management,Logistics / Coordination,Qualification / Segmentation
14974,20180829-140252_910_live,8,minnesota. not too bad here but its a little chilly. have you donated to any causes like this before?,Conversation Management,Qualification / Segmentation,Donation Baseline / Habit Probe
14976,20180829-140252_910_live,9,yeah absolutely it does! just bear with me and i should be able to end this chat thing shortly,Conversation Management,Logistics / Coordination,Logistics / Coordination
14978,20180829-140252_910_live,10,ok the chat window is done. thanks again for your donation. have a wonderful day!,Conversation Management,Acknowledgement,Acknowledgement
14979,20180829-081919_384_live,0,hi.  are you going to donate HIT money to Save the Children?,Call to Action,Call to Action,Charity Awareness Probe
14981,20180829-081919_384_live,1,it's a charity for endangered children such as those in the rohingya action:   URL ,Rational / Impact Appeal,Rational Appeal,Empathy Appeal
14983,20180829-081919_384_live,2,"ok.  they protect kids in danger, help them after hurricanes, military actions, etc",Rational / Impact Appeal,Rational Appeal,Rational Appeal
14985,20180829-081919_384_live,3,great.  you can donate anything upto $2...,Call to Action,Call to Action,Logistics / Coordination
14987,20180829-081919_384_live,4,that sounds like a nominal amount.  are you sure?,Threat / Pressure,Aversive Stimulation,Framing
14989,20180829-081919_384_live,5,yeah.  i understand.  ok.  so $1 it is.,Conversation Management,Acknowledgement,Acknowledgement
14991,20180829-081919_384_live,6,that sounds fair,Conversation Management,Acknowledgement,Acknowledgement
14993,20180829-081919_384_live,7,i found it on the internet ...,Conversation Management,Charity Awareness Probe,Non-persuasive Other
14995,20180829-081919_384_live,8,it was at the suggestion of somebody here,Authority / Expertise,Authority,Social Proof
14997,20180829-081919_384_live,9,"it's hard to tell, given all the corruption one hears about with charities - even the red cross, but ... you gotta trust someone sometime",Authority / Expertise,Credibility Appeal,Framing
14999,20180829-083014_221_live,0,Hi,Conversation Management,Greeting / Rapport,Greeting / Rapport
15001,20180829-083014_221_live,1,i am good..thank u..,Conversation Management,Greeting / Rapport,Acknowledgement
15003,20180829-083014_221_live,2,"this donation is for ""save the children"" purpose",Rational / Impact Appeal,Rational Appeal,Moral Appeal
15005,20180829-083014_221_live,3,"the charity name is ""save the children""",Conversation Management,Charity Awareness Probe,Non-persuasive Other
15007,20180829-083014_221_live,4,yes..even i have to donate too.. but i would like to get some donation from you,Exchange / Incentives,Reciprocity,
15009,20180829-083014_221_live,5,that is so kind of you..thank u so much for your help and big heart,Conversation Management,Acknowledgement,Acknowledgement
15011,20180829-083014_221_live,6,even i will gibe .50,Exchange / Incentives,Reciprocity,Pre-giving
15013,20180829-083014_221_live,7,Your donation will be directly deducted from your task payment.,Exchange / Incentives,Debt,Framing
15015,20180829-083014_221_live,8,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Rational Appeal,Charity Awareness Probe
15017,20180829-083014_221_live,9,that' s ok.. you will get more chances to donate. Still you can donate more if you are really interested,Call to Action,Call to Action,Framing
15019,20180829-083014_221_live,10,You can refer to Save the Children's website to gather more information if you like to.   URL ,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
15020,20180829-081138_317_live,0,Hi I'm wondering if you might possibly be willing to donate some of your earnings to a charity?,Call to Action,Call to Action,Call to Action
15022,20180829-081138_317_live,1,It's a great charity though. It's for Save the Children.,Authority / Expertise,Credibility Appeal,Credibility Appeal
15024,20180829-081138_317_live,2,Yes it's for Save the Children. You don't even have to donate all of your earnings. You could if you choose donate part of your earnings. It's up to you.,Call to Action,Call to Action,Framing
15026,20180829-081138_317_live,3,I know you didn't want to donate but doesn't it make you feel good at the same time. Thank you.,Norms / Morality / Values,Self-feeling Appeal,Self-feeling Appeal
15028,20180829-081138_317_live,4,I don't want you to feel like you're having to make a donation.,Call to Action,Call to Action,Empathy Appeal
15030,20180829-081138_317_live,5,It is a great cause and even the most minimal amount can help a lot!,Rational / Impact Appeal,Rational Appeal,Rational Appeal
15032,20180829-081138_317_live,6,This charity is not like that at all.,Authority / Expertise,Credibility Appeal,Rational Appeal
15034,20180829-081138_317_live,7,And how much would you personally miss that 35 cents.,Urgency / Scarcity,Scarcity,Framing
15036,20180829-081138_317_live,8,Well I think you made the right choice in saying you'd donate the 35 cents. I know sometimes its hard to part with money. Trust me I've been there myself many times.,Call to Action,Call to Action,Activation of Personal Commitment
15038,20180829-081138_317_live,9,I'm donating all of it. Thank you though for donating what you did.,Conversation Management,Acknowledgement,Acknowledgement
15040,20180829-081138_317_live,10,This is true. You take care.,Conversation Management,Acknowledgement,Conversation Closing
15041,20180829-100816_672_live,0,Hi! ,Conversation Management,Greeting / Rapport,Greeting / Rapport
15043,20180829-100816_672_live,1,Yes very. Not sure why. ,Conversation Management,Greeting / Rapport,Acknowledgement
15045,20180829-100816_672_live,2,"No. No novels from me, sorry. ",Conversation Management,Greeting / Rapport,Acknowledgement
15047,20180829-100816_672_live,3,Probably science fiction or monsters. They seem to pair well.     ,Conversation Management,Greeting / Rapport,Non-persuasive Other
15049,20180829-100816_672_live,4,"I saw the news where AI in Japan said its goal was to kill humans. Like, thats not a red flag? ",Fear Appeal,Fear Appeal,Non-persuasive Other
15051,20180829-100816_672_live,5,"We're doing a good job of killing ourselves off as it is.  millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. ",Rational / Impact Appeal,Rational Appeal,Fear Appeal
15053,20180829-100816_672_live,6,Yes. There are charities who are taking donations for war torn countries and their innocent children.  URL ,Rational / Impact Appeal,Rational Appeal,Call to Action
15055,20180829-100816_672_live,7,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.  No government means something must be getting done efficiently  ",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
15057,20180829-100816_672_live,8,I have 2 cats that like to help type ,Conversation Management,Greeting / Rapport,Greeting / Rapport
15059,20180829-100816_672_live,9,Very.  Do you donate to charities? ,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
15061,20180829-100816_672_live,10,"It always amuses me when I get address labels or change in the mail. ""How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2).",Exchange / Incentives,Reciprocity,Framing
15062,20180829-031039_439_live,0,hello,Conversation Management,Greeting / Rapport,Greeting / Rapport
15064,20180829-031039_439_live,1,"The charity is Save the Children. It prevents childrens right, provides relief and helps children in developing countries.",Rational / Impact Appeal,Rational Appeal,Charity Awareness Probe
15066,20180829-031039_439_live,2,Not enough unfortunatly. There are many children still in dire need of help. The demand for donations are sadly never ending. But they are for a good cause in the end.,Emotional Influence,Emotional Appeal,Moral Appeal
15068,20180829-031039_439_live,3,There is no minimum on how much you can give. ,Call to Action,Call to Action,Framing
15070,20180829-031039_439_live,4,Your donation will be directly deducted from your task payment.,Exchange / Incentives,Reciprocity,Framing
15072,20180829-031039_439_live,5,Thank you fo considering donating.,Conversation Management,Acknowledgement,Acknowledgement
15074,20180829-031039_439_live,6,The research team will collect all donations and send it to Save the Children once the task is complete.,Rational / Impact Appeal,Rational Appeal,Logistics / Coordination
15076,20180829-031039_439_live,7,The chairity currently opperates in over  120 countries. our most recent activities are helping helping Rohingya Refugees as well as supporing survivors of hurrican Harvey who are still at risk.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
15078,20180829-031039_439_live,8,A good number of them are. A good number of them are in Greater Middle East and Eurasia Region,Rational / Impact Appeal,Rational Appeal,Rational Appeal
15080,20180829-031039_439_live,9,It is very unfortunate that they have to go through any kind of hardships out of their control. But we can try to help lessen problems where we can.,Emotional Influence,Empathy Appeal,Sympathy Appeal
15082,20180829-141125_448_live,0,"Hello, Have you heard of the great organization ""Save the Children""?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
